sig_f2	batch_f2	n_per_cohort	n_cohorts	n_total	method	n_reps	mean_auc	std_auc	r2_resp_diag	r2_batch_diag	ceiling_auc	delta_auc
0.007	0.08	40	1	40	location_scale	10	0.46624999999999994	0.1141613441581694	0.02791	0.0	0.55125	-0.08500000000000008
0.007	0.08	40	1	40	quantile_mapping	10	0.39999999999999997	0.13145816825134907	0.02488	0.0	0.55125	-0.15125000000000005
0.007	0.08	40	1	40	percentile_norm	10	0.53	0.15921683328090655	0.01844	0.0	0.55125	-0.02124999999999999
0.007	0.08	40	1	40	cohort_covariate	10	0.4750000000000001	0.08422440263961509	0.03323	0.0	0.55125	-0.07624999999999993
0.007	0.08	40	2	80	none	10	0.5165625	0.10222189788029765	0.01755	0.04646	0.55125	-0.03468749999999998
0.007	0.08	40	2	80	mean_centering	10	0.49437500000000006	0.10255333977984336	0.01138	0.04408	0.55125	-0.05687499999999995
0.007	0.08	40	2	80	location_scale	10	0.4965625	0.07605315267133902	0.01021	0.04797	0.55125	-0.0546875
0.007	0.08	40	2	80	quantile_mapping	10	0.46687500000000004	0.08116822808217512	0.01569	0.03889	0.55125	-0.08437499999999998
0.007	0.08	40	2	80	percentile_norm	10	0.5281250000000001	0.09675395663744198	0.01038	0.04075	0.55125	-0.02312499999999995
0.007	0.08	40	2	80	cohort_covariate	10	0.5290625	0.05716358789692963	0.01183	0.0504	0.55125	-0.022187500000000027
0.007	0.08	40	3	120	none	10	0.47930555555555554	0.06616550633370126	0.00603	0.07517	0.55125	-0.07194444444444448
0.007	0.08	40	3	120	mean_centering	10	0.4922222222222222	0.04806117500862707	0.00514	0.08316	0.55125	-0.05902777777777779
0.007	0.08	40	3	120	location_scale	10	0.5148611111111111	0.09208668504039219	0.00996	0.07975	0.55125	-0.036388888888888915
0.007	0.08	40	3	120	quantile_mapping	10	0.5106944444444445	0.09539968310763428	0.01162	0.07696	0.55125	-0.04055555555555557
0.007	0.08	40	3	120	percentile_norm	10	0.47666666666666674	0.0752177907770676	0.00764	0.09634	0.55125	-0.07458333333333328
0.007	0.08	40	3	120	cohort_covariate	10	0.4854166666666666	0.05661915900705933	0.00677	0.07994	0.55125	-0.06583333333333341
