run_accession	actual	n_features	EN_prob_R	EN_pred	EN_correct	EN_inner_auc	EN_best_C	EN_best_l1	RF_prob_R	RF_pred	RF_correct	RF_inner_auc	RF_best_n_est	RF_best_depth	XGB_prob_R	XGB_pred	XGB_correct	XGB_inner_auc	XGB_best_n_est	XGB_best_depth	XGB_best_lr
ERR6267711	NR	65	0.0021	NR	YES	0.5809	1.0	0.7	0.4001	NR	YES	0.4301	200	5	0.0604	NR	YES	0.4974	200	3	0.1
ERR6267712	R	65	0.0245	NR	NO	0.5668	1.0	0.7	0.2504	NR	NO	0.5129	500	5	0.116	NR	NO	0.5711	200	3	0.1
ERR6271719	NR	65	0.0003	NR	YES	0.586	100.0	0.3	0.3149	NR	YES	0.5245	200	10	0.4909	NR	YES	0.5826	200	3	0.05
ERR6271720	NR	65	0.4282	NR	YES	0.6251	100.0	0.3	0.384	NR	YES	0.5203	500	5	0.6286	R	NO	0.5957	200	3	0.05
ERR6271721	NR	65	0.0514	NR	YES	0.5922	1.0	0.7	0.3359	NR	YES	0.4847	200	5	0.0527	NR	YES	0.4871	100	3	0.1
ERR6273965	NR	65	0.0122	NR	YES	0.5572	1.0	0.7	0.18	NR	YES	0.5104	200	None	0.073	NR	YES	0.4767	200	2	0.05
ERR6275652	NR	65	0.8949	R	NO	0.5694	10.0	0.7	0.4408	NR	YES	0.4843	500	10	0.7216	R	NO	0.5308	200	3	0.05
ERR6275659	NR	65	0.0168	NR	YES	0.562	1.0	0.3	0.36	NR	YES	0.4351	200	None	0.3233	NR	YES	0.5217	200	3	0.05
ERR6275661	NR	65	0.9823	R	NO	0.6135	100.0	0.3	0.5087	R	NO	0.52	200	5	0.4246	NR	YES	0.5661	200	3	0.05
ERR6275663	R	65	0.0002	NR	NO	0.605	100.0	0.3	0.4392	NR	NO	0.5243	500	5	0.0785	NR	NO	0.5726	200	2	0.1
ERR6275664	NR	65	0.9811	R	NO	0.5638	1.0	0.7	0.422	NR	YES	0.5478	200	5	0.2813	NR	YES	0.5674	100	2	0.05
ERR6275665	R	65	0.1678	NR	NO	0.6091	1.0	0.3	0.426	NR	NO	0.5298	500	None	0.6927	R	YES	0.601	200	2	0.1
ERR6275666	NR	65	0.002	NR	YES	0.574	1.0	0.5	0.33	NR	YES	0.4514	200	None	0.0669	NR	YES	0.5107	200	3	0.1
ERR6275667	R	65	0.0157	NR	NO	0.6411	100.0	0.3	0.3582	NR	NO	0.5817	500	5	0.0788	NR	NO	0.614	200	3	0.1
ERR6275668	NR	65	0.8772	R	NO	0.6274	1.0	0.7	0.3256	NR	YES	0.5485	200	10	0.1026	NR	YES	0.5899	100	3	0.1
